                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.81662,                0.62868,                0.93606,                0.88963,                0.78434,                0.91542,                0.59409,                0.89097,                 0.7654,                0.99782,               0.001175,               0.001175,               0.001175
                    128,                0.86336,                0.64915,                 0.9433,                0.88683,                0.78105,                0.91047,                0.59044,                0.87978,                 0.7626,                0.99058,              0.0011684,              0.0011684,              0.0011684
                    129,                0.84525,                0.62825,                0.94275,                0.88895,                0.77898,                0.91007,                0.58225,                0.87702,                0.80697,                0.99368,              0.0011618,              0.0011618,              0.0011618
                    130,                0.85859,                0.63992,                0.95087,                0.89145,                0.78233,                0.91365,                0.60427,                0.82054,                0.79559,                0.97125,              0.0011552,              0.0011552,              0.0011552
                    131,                0.84943,                0.63802,                0.94598,                0.89072,                0.78272,                0.91471,                0.59232,                0.85582,                0.78255,                0.98601,              0.0011486,              0.0011486,              0.0011486
                    132,                0.83691,                0.63237,                0.94229,                0.89258,                 0.7767,                0.91137,                0.58386,                0.93964,                0.77531,                 1.0185,               0.001142,               0.001142,               0.001142
                    133,                0.83599,                0.63388,                0.94088,                0.88402,                0.77977,                0.90951,                0.59289,                0.85813,                 0.7887,                0.99396,              0.0011354,              0.0011354,              0.0011354
                    134,                0.83657,                0.61474,                0.94001,                0.89192,                0.78105,                0.91023,                0.59572,                0.86934,                0.76982,                 1.0018,              0.0011288,              0.0011288,              0.0011288
                    135,                0.85975,                0.64916,                0.94886,                0.89031,                0.77944,                0.91023,                0.59305,                 0.8231,                0.79484,                0.98579,              0.0011222,              0.0011222,              0.0011222
                    136,                0.86906,                0.63072,                0.95437,                0.89051,                0.78233,                0.91192,                0.59134,                 0.8064,                0.79243,                0.96731,              0.0011156,              0.0011156,              0.0011156
                    137,                0.81879,                0.63181,                0.93975,                0.89182,                0.78115,                0.91081,                0.58543,                0.84071,                0.78721,                0.98534,               0.001109,               0.001109,               0.001109
                    138,                0.85194,                0.64786,                0.95244,                0.88922,                0.78109,                0.91186,                0.57849,                0.88749,                0.78997,                 1.0008,              0.0011024,              0.0011024,              0.0011024
                    139,                0.85341,                0.64052,                0.95428,                0.88991,                 0.7866,                0.91198,                0.58917,                 0.8732,                0.77008,                0.99725,              0.0010958,              0.0010958,              0.0010958
                    140,                0.83096,                0.63848,                0.94156,                 0.8875,                0.78233,                0.91213,                0.59412,                0.91214,                0.74676,                 1.0252,              0.0010892,              0.0010892,              0.0010892
                    141,                0.85577,                0.65337,                 0.9499,                0.88561,                0.77337,                0.90799,                0.59417,                0.88311,                0.76438,                  1.011,              0.0010826,              0.0010826,              0.0010826
                    142,                0.82272,                0.63654,                0.93857,                0.83872,                 0.8041,                0.90487,                0.58125,                 0.8495,                0.76935,                0.98306,               0.001076,               0.001076,               0.001076
